Mais mais
uma um
vítima vítima
do de_o
experimento experimento
morre morrer
jogando jogar
futebol futebol
. .
Já já
são ser
centenas centena
de de
infartos infarto
durante durante
jogos jogo
só só
neste em_este
semestre semestre
. .
Quando quando
as o
pessoas pessoa
irão ir
acordar acordar
? ?
Isso isso
nunca nunca
foi ser
normal normal
! !
Segundo segundo
apurado apurado
pelo por_o
JV jv
, ,
Dayvid dayvid
, ,
de de
21 21
anos ano
, ,
havia haver
tomado tomar
a ela
ultima ultimar
dose dose
em em
maio maio
/ /
22 22
. .
Descanse descansar
em em
paz paz
. .
https://t.co/emGPDIFkyo https://t.co/emgpdifkyo
