@bellanna twitterhandle
E e
eu eu
votei votar
nesse em_esse
ditador ditador
para para
ele ele
tirar tirar
minha meu
liberdade liberdade
de de
ir ir
e e
vir vir
, ,
de de
trabalhar trabalhar
, ,
de de
receber receber
tratamento tratamento
precoce precoce
, ,
aumentou aumentar
o o
iptu iptu
, ,
e e
se se
for ser
reeleito reeleger
, ,
sem sem
meu meu
voto voto
, ,
vai ir
obrigar obrigar
todos todo
a a
tomar tomar
vachina vachina
. .
Aposto apostar
q q
o o
filho filho
e e
a o
esposa esposo
não não
vão ir
tomar tomar
é ser
só só
para para
o o
cow_face_e cow_face_e
