@rodrigogarcia_ twitterhandle
E e
o o
porque porque
da de_o
exigência exigência
de de
carteira carteira
de de
vacina vacina
da de_o
covid covid
! !
Hoje hoje
recebi receber
isto isto
do de_o
conselho conselho
tutelar tutelar
me eu
ameaçando ameaçar
por por
não não
ter ter
vacinado vacinar
meus meu
filhos filho
sendo ser
que que
esta este
vacina vacina
não não
é ser
obrigatória obrigatório
e e
o o
porque porque
que que
o o
governador governador
está estar
exigindo exigir
isso isso
. .
https://t.co/7QUiPT3M11 https://t.co/7quipt3m11
